screen_name,date,text
Amarinder,Sun Jan 29 17:10:19 +0000 2017,b'rt AT_USER \xe0\xa4\xae\xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa5\x8b\xe0\xa4\x9f\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xb0\xe0\xa5\x88\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa5\x87 \xe0\xa4\x89\xe0\xa4\xae\xe0\xa4\xa1\xe0\xa5\x80 \xe0\xa4\xad\xe0\xa5\x80\xe0\xa4\xa1 \xe0\xa4\xac\xe0\xa4\xb8 \xe0\xa4\x85\xe0\xa4\xac \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\x9c\xe0\xa5\x80\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xa1\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88 AT_USER AT_USER AT_USER ht\xe2\x80\xa6' 
Badal,Mon Jan 30 19:29:04 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER biggest thief and nonsense we call him guppi in punjab. shame o\xe2\x80\xa6 URL 
Kejriwal,Mon Jan 30 19:29:04 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER biggest thief and nonsense we call him guppi in punjab. shame o\xe2\x80\xa6 URL 
Amarinder,Mon Jan 30 19:15:16 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Amarinder,Mon Jan 30 19:10:00 +0000 2017,b'poll khol: AT_USER mind games and love for nota | AT_USER URL 
Amarinder,Mon Jan 30 18:55:28 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Badal,Mon Jan 30 18:50:02 +0000 2017,b'sacrilege incidents occurred after entry of aap in punjab: sukhbir | AT_USER AT_USER URL 
Kejriwal,Mon Jan 30 18:50:02 +0000 2017,b'sacrilege incidents occurred after entry of aap in punjab: sukhbir | AT_USER AT_USER URL 
Kejriwal,Mon Jan 30 18:38:31 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER \xe0\xa4\xac\xe0\xa5\x81\xe0\xa4\xa7\xe0\xa4\xbf \xe0\xa4\x96\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xac \xe0\xa4\xb9\xe0\xa5\x8b \xe0\xa4\x97\xe0\xa4\xaf\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa5\x80 \xe0\xa5\xa4 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\x9b\xe0\xa5\x8b \xe0\xa4\x87\xe0\xa4\xb8 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\x95 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x9d\xe0\xa5\x82\xe0\xa4\xa0 \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa5\xa4' 
Kejriwal,Mon Jan 30 18:32:27 +0000 2017,b'AT_USER AT_USER AT_USER its good that even the people of totaly different mindsets r now coming up 4 the right political party.' 
